Sale ID,Date,Shop,Product,Quantity,Unit price
S000000000,2021-02-04,shop_0,TAB_0,1.0,210.0
S000000001,2021-02-03,shop_1,TAB_1,1.0,300.0
S000000002,2021-02-02,shop_2,CHA_2,2.0,60.0
S000000003,2021-02-01,shop_3,BED_3,1.0,150.0
S000000004,2021-01-31,shop_4,BED_4,3.0,300.0
S000000005,2021-01-30,shop_5,BED_5,1.0,395.0
S000000006,2021-01-29,shop_6,BED_6,2.0,440.0
S000000007,2021-01-28,shop_7,TSH_7,2.0,20.0
S000000008,2021-01-27,shop_8,TSH_8,1.0,20.0
S000000009,2021-01-26,shop_9,TSH_9,1.0,22.0
S000000010,2021-01-25,shop_10,TSH_10,1.0,24.0
S000000011,2021-01-24,shop_11,TSH_11,4.0,24.0
S000000012,2021-01-23,shop_12,HOO_12,1.0,45.0
S000000013,2021-01-22,shop_13,HOO_13,1.0,48.0
S000000014,2021-01-21,shop_14,HOO_14,1.0,49.0
S000000015,2021-01-20,shop_15,SHO_15,2.0,60.0
S000000016,2021-01-19,shop_16,SHO_16,1.0,60.0
S000000017,2021-01-18,shop_17,SHO_17,3.0,60.0
S000000018,2021-01-17,shop_18,SHO_18,1.0,60.0
S000000019,2021-01-16,shop_19,SHO_19,2.0,60.0
S000000020,2021-01-15,shop_20,SHO_20,2.0,60.0
S000000021,2021-01-14,shop_21,TAB_21,1.0,210.0
S000000022,2021-01-13,shop_22,TAB_22,1.0,300.0
S000000023,2021-01-12,shop_23,CHA_23,1.0,60.0
S000000024,2021-01-11,shop_24,BED_24,4.0,150.0
S000000025,2021-01-10,shop_25,BED_25,1.0,300.0
S000000026,2021-01-09,shop_26,BED_26,1.0,395.0
S000000027,2021-01-08,shop_27,BED_27,1.0,440.0
S000000028,2021-01-07,shop_28,TSH_28,2.0,20.0
S000000029,2021-01-06,shop_29,TSH_29,1.0,20.0
S000000030,2021-02-04,shop_30,TSH_30,3.0,22.0
S000000031,2021-02-03,shop_31,TSH_31,1.0,24.0
S000000032,2021-02-02,shop_32,TSH_32,2.0,24.0
S000000033,2021-02-01,shop_33,HOO_33,2.0,45.0
S000000034,2021-01-31,shop_34,HOO_34,1.0,48.0
S000000035,2021-01-30,shop_35,HOO_35,1.0,49.0
S000000036,2021-01-29,shop_36,SHO_36,1.0,60.0
S000000037,2021-01-28,shop_37,SHO_37,4.0,60.0
S000000038,2021-01-27,shop_38,SHO_38,1.0,60.0
S000000039,2021-01-26,shop_39,SHO_39,1.0,60.0
S000000040,2021-01-25,shop_0,SHO_40,1.0,60.0
S000000041,2021-01-24,shop_1,SHO_41,2.0,60.0
S000000042,2021-01-23,shop_2,TAB_42,1.0,210.0
S000000043,2021-01-22,shop_3,TAB_43,3.0,300.0
S000000044,2021-01-21,shop_4,CHA_44,1.0,60.0
S000000045,2021-01-20,shop_5,BED_45,2.0,150.0
