Tool/Capability,Description,Capability Type
Adobe Photoshop,Adobe Photoshop is a raster graphics editor.,Graphic editing
Amazon Backup,Fully managed backup service that makes it easy to centralize and automate the backup of data across AWS services in the cloud as well as on premises using the AWS Storage Gateway,AWS Tools
Amazon Comprehend,Amazon Comprehend is a natural language processing (NLP) service that uses machine learning to find insights and relationships in text.,AWS Tools
Amazon DynamoDB,Amazon DynamoDB is a fully managed proprietary NoSQL database service that supports key-value and document data structures and is offered by Amazon as part of the Amazon Web Services portfolio. Data Storage Type,AWS Tools
Amazon Elastic Block Storage,"Persistent, durable, low-latency block-level storage volumes for EC2 instances",AWS Tools
Amazon Elastic File System,Fully managed elastic NFS file system for use with AWS Cloud services and on-premises resources,AWS Tools
Amazon Elastic Inference,"Amazon Elastic Inference allows you to attach low-cost GPU-powered acceleration to Amazon EC2 and Amazon SageMaker instances to reduce the cost of running deep learning inference by up to 75%. Amazon Elastic Inference supports TensorFlow, Apache MXNet, and ONNX models, with more frameworks coming soon.",AWS Tools
Amazon Forecast,Amazon Forecast is a fully managed service that uses machine learning to deliver highly accurate forecasts.,AWS Tools
Amazon Ground Truth,Build highly accurate training datasets for machine learning quickly.,AWS Tools
Amazon Kinesis,"Amazon Kinesis is an Amazon Web Service (AWS) for processing big data in real time. Kinesis is capable of processing hundreds of terabytes per hour from high volumes of streaming data from sources such as operating logs, financial transactions, and social media feeds. Data Acquisition Tool",AWS Tools
Amazon Lex,Amazon Lex is a service for building conversational interfaces into any application using voice and text.,AWS Tools
Amazon Mechanical Turk (Mturk),"Data Labeling Tool - Amazon Mechanical Turk (Mturk) is a crowdsourcing website for businesses (known as Requesters) to hire remotely located ""crowdworkers"" to perform discrete on-demand tasks that computers are currently unable to do.",AWS Tools
Amazon Personalize,Amazon Personalize is a machine learning service that makes it easy for developers to create individualized recommendations for customers using their applications.,AWS Tools
Amazon Polly,"Amazon Polly is a service that turns text into lifelike speech, allowing you to create applications that talk, and build entirely new categories of speech-enabled products.",AWS Tools
Amazon Rekognition,"Amazon Rekognition provides fast and accurate face search, allowing you to identify a person in a photo or video using your private repository of face images.",AWS Tools
Amazon S3,Object storage infrastructure,AWS Tools
Amazon SageMaker,"Amazon Sagemaker is a cloud machine-learning platform that enables developers to create, train, and deploy machine-learning (ML) models in the cloud. SageMaker also enables developers to deploy ML models on embedded systems and edge-devices. Data science environment with Jupyter Notebook and other technologies tuned for DL and ML. Designed for end-to-end train, build and deployment.",AWS Tools
Amazon Textract,Amazon Textract is a service that automatically extracts text and data from scanned documents.,AWS Tools
Amazon Transcribe,Amazon Transcribe makes it easy for developers to add speech-to-text capability to their applications.,AWS Tools
Amazon Translate,"Amazon Translate is a neural machine translation service that delivers fast, high-quality, and affordable language translation.",AWS Tools
Ambassador,"Expose, secure, and manage traffic to your Kubernetes microservices of any type",Docker Tools
Anaconda,"Environment by which Python, R, and Jupiter can be scripted and run.  Also contains associated libraries for Tensor Flow and Keras.",AI/ML Tools
Anchore,"CI/CD, Kubernetes, Container Security",DevSecOps Tools
Ansible,Ansible is a configuration management tool that automates the configuration of multiple servers by the use of Ansible playbooks. Ansible plays are written in YAML.,Automation/Infrastructure Tools
Ansible Playbook,Ansible Playbook is an organized unit of scripts that defines work for a server configuration managed by the automation tool Ansible. Ansible is a configuration management tool that automates the configuration of multiple servers by the use of Ansible playbooks. Ansible plays are written in YAML.,Automation/Infrastructure Tools
Antivirus,"Software used to prevent, detect, and remove malware.",OS Tools
Apache Cassandra,Data is automatically replicated to multiple nodes for fault-tolerance. Replication across multiple data centers is supported. Failed nodes can be replaced with no downtime.,Database
Apache Flume,"Flume is a distributed, reliable, and available service for efficiently collecting, aggregating, and moving large amounts of log data. It has a simple and flexible architecture based on streaming data flows. It is robust and fault tolerant with tunable reliability mechanisms and many failover and recovery mechanisms. It uses a simple extensible data model that allows for online analytic application",Data Ingestion/Manipulation
Apache Kafka,"Stream Processing for Real-Time Data Feeds - Apache Kafka is an open-source stream-processing software platform developed by LinkedIn and donated to the Apache Software Foundation. Kafka provides a unified, high-throughput, low-latency platform for handling real-time data feeds.",Data Ingestion/Manipulation
ArangoDB,"ArangoDB is a free and open-source native multi-model database system. The database system supports three data models (key/value, documents, graphs) with one database core and a unified query language AQL (ArangoDB Query Language). The query language is declarative and allows the combination of different data access patterns in a single query. ArangoDB is a NoSQL database system but AQL is similar in many ways to SQL.",Database
ArangoML,ArangoML Pipeline is a powerful yet simple tool to facilitate teamwork between DataOps and Data Science but allows also to provide detailed audit trails for auditors and advanced analytics of the whole machine learning environment.,AI/ML Tools
Artifactory,Code Artifacts. Enterprise universal binary repository manager as a natural extension to the source code repository to store outcomes of the build process or artifacts.,Repository Tools/Library
ATAK,UI & Visualization Tool,Data Visualization
