Score	Term
64.90	FA12
84.58	FA12
60.72	FA12
80.53	FA12
56.68	FA12
59.65	FA12
51.75	FA12
55.89	FA12
41.72	FA12
56.33	FA12
83.97	FA12
69.16	FA12
63.80	FA12
74.55	FA12
58.08	FA12
51.62	FA12
68.30	FA12
71.78	FA12
73.07	FA12
72.89	FA12
58.60	SP13
97.57	SP13
79.51	SP13
89.79	SP13
75.93	SP13
63.87	SP13
81.81	SP13
75.24	SP13
70.30	SP13
82.97	SP13
44.69	SP13
68.25	SP13
75.40	SP13
66.95	SP13
64.09	SP13
89.59	SP13
83.20	SP13
61.38	SP13
60.30	SP13
72.16	FA13
85.47	FA13
58.21	FA13
50.43	FA13
73.97	FA13
66.94	FA13
66.57	FA13
98.29	FA13
85.38	FA13
83.75	FA13
66.84	FA13
49.99	FA13
69.97	FA13
77.96	FA13
97.24	FA13
68.37	FA13
87.71	FA13
99.78	FA13
67.58	FA13
