Company,Name,Ref,Review Date,Cocoa Percent,Company Location,Rating,Broad Bean Origin,Bean Type,,,,
Baravelli's,single estate,955,2012,80,Wales,2.75,Costa Rica,,,,,
Marou,Dong Nai,845,2012,72,Vietnam,3.5,Vietnam,Trinitario,,,,
Marou,Lam Dong,955,2012,74,Vietnam,3.5,Vietnam,Trinitario,,,Mean,71.6925734
Marou,Ba Ria,845,2012,76,Vietnam,3.5,Vietnam,Trinitario,,,Median,70
Marou,Ben Tre,849,2012,78,Vietnam,3.5,Vietnam,Trinitario,,,Mode,70
Marou,Tien Giang,895,2012,80,Vietnam,3,Vietnam,Trinitario,,,,
Marou,Ben Tre,1650,2015,68,Vietnam,3.5,Vietnam,Trinitario,,,Minimum,42
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75,Venezuela,2.5,Venezuela,,,,Maximum,100
Cacao de Origen,Chuao,1688,2015,77,Venezuela,3.5,Venezuela,Trinitario,,,Range,58
Cacao de Origin,Hacienda la Trinidad,1668,2015,74,Venezuela,3.25,Venezuela,,,,Quartile 1,70
Franceschi,Canoabo,911,2012,70,Venezuela,3.75,Venezuela,,,,Quartile 3,75
Cacao de Origen,Rio Caribe,1692,2015,75,Venezuela,3.25,Venezuela,Trinitario,,,Interquartile Range,5
El Rey,San Joaquin,1662,2015,70,Venezuela,3.75,Venezuela,,,,Standard Deviation,6.380647879
Suruca Chocolate,Venezuela,1796,2016,60,Venezuela,3,Venezuela,,,,Variance,40.71266736
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74,Venezuela,3.25,Venezuela,,,,Margin of Error,0.367501055
Franceschi,Choroni,1355,2014,70,Venezuela,3.5,Venezuela,,,,Sample Size,1158
Franceschi,Ocumare,1355,2014,70,Venezuela,3.75,Venezuela,,,,Lower Confidence Limit,71.32507235
Franceschi,Sur del Lago,915,2012,60,Venezuela,3.5,Venezuela,,,,Upper Confidence Limit,72.06007446
Suruca Chocolate,Venezuela,1796,2016,70,Venezuela,2.75,Venezuela,,,,,
Arete,Fazenda Camboa,1534,2015,70,U.S.A.,3.5,Brazil,,,,,
Burnt Fork Bend,Mindo,1299,2014,72,U.S.A.,3.5,Ecuador,,,,,
