GallusID,GallusBreed,Day,Age,GallusWeight,GallusEggColor,GallusEggWeight,AmountOfFeed,EggsPerDay,GallusCombType,SunLightExposure,GallusClass,GallusLegShanksColor,GallusBeakColor,GallusEarLobesColor,GallusPlumage
Marans1,Marans,1,883,3000,Brown,41.19,114,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans1,Marans,2,883,3000,Brown,41.19,114,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans1,Marans,3,883,3000,Brown,41.19,114,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans1,Marans,4,883,3000,Brown,41.19,114,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans1,Marans,5,883,3000,Brown,41.19,114,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans2,Marans,1,684,1750,Brown,52.91,111,1,Single,9,Continental,White,White,NULL,Blue
Marans2,Marans,2,684,1750,Brown,52.91,111,1,Single,9,Continental,White,White,NULL,Blue
Marans2,Marans,3,684,1750,Brown,52.91,111,1,Single,9,Continental,White,White,NULL,Blue
Marans2,Marans,4,684,1750,Brown,52.91,111,1,Single,9,Continental,White,White,NULL,Blue
Marans2,Marans,5,684,1750,Brown,52.91,111,1,Single,9,Continental,White,White,NULL,Blue
Marans3,Marans,1,132,2370,Brown,49.72,125,1,Single,7,Continental,White,White,NULL,Splash
Marans3,Marans,2,132,2370,Brown,49.72,125,1,Single,7,Continental,White,White,NULL,Splash
Marans3,Marans,3,132,2370,Brown,49.72,125,1,Single,7,Continental,White,White,NULL,Splash
Marans3,Marans,4,132,2370,Brown,49.72,125,1,Single,7,Continental,White,White,NULL,Splash
Marans3,Marans,5,132,2370,Brown,49.72,125,1,Single,7,Continental,White,White,NULL,Splash
Marans4,Marans,1,226,2790,Brown,30.52,122,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans4,Marans,2,226,2790,Brown,30.52,122,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans4,Marans,3,226,2790,Brown,30.52,122,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans4,Marans,4,226,2790,Brown,30.52,122,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans4,Marans,5,226,2790,Brown,30.52,122,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans5,Marans,1,288,2370,Brown,54.03,128,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans5,Marans,2,288,2370,Brown,54.03,128,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans5,Marans,3,288,2370,Brown,54.03,128,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans5,Marans,4,288,2370,Brown,54.03,128,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans5,Marans,5,288,2370,Brown,54.03,128,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans6,Marans,1,125,2490,Brown,31.89,125,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans6,Marans,2,125,2490,Brown,31.89,125,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans6,Marans,3,125,2490,Brown,31.89,125,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans6,Marans,4,125,2490,Brown,31.89,125,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans6,Marans,5,125,2490,Brown,31.89,125,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans7,Marans,1,494,2750,Brown,36.82,111,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans7,Marans,2,494,2750,Brown,36.82,111,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans7,Marans,3,494,2750,Brown,36.82,111,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans7,Marans,4,494,2750,Brown,36.82,111,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans7,Marans,5,494,2750,Brown,36.82,111,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans8,Marans,1,984,2180,Brown,48.04,107,0,Single,9,Continental,White,White,NULL,Blue
Marans8,Marans,2,984,2180,Brown,48.04,107,0,Single,9,Continental,White,White,NULL,Blue
Marans8,Marans,3,984,2180,Brown,48.04,107,0,Single,9,Continental,White,White,NULL,Blue
Marans8,Marans,4,984,2180,Brown,48.04,107,0,Single,9,Continental,White,White,NULL,Blue
Marans8,Marans,5,984,2180,Brown,48.04,107,0,Single,9,Continental,White,White,NULL,Blue
Marans9,Marans,1,908,1730,Brown,38.66,110,1,Single,10,Continental,White,White,NULL,Blue
Marans9,Marans,2,908,1730,Brown,38.66,110,1,Single,10,Continental,White,White,NULL,Blue
Marans9,Marans,3,908,1730,Brown,38.66,110,1,Single,10,Continental,White,White,NULL,Blue
Marans9,Marans,4,908,1730,Brown,38.66,110,1,Single,10,Continental,White,White,NULL,Blue
Marans9,Marans,5,908,1730,Brown,38.66,110,1,Single,10,Continental,White,White,NULL,Blue
Marans10,Marans,1,619,2580,Brown,46.16,116,1,Single,7,Continental,White,White,NULL,Splash
Marans10,Marans,2,619,2580,Brown,46.16,116,1,Single,7,Continental,White,White,NULL,Splash
Marans10,Marans,3,619,2580,Brown,46.16,116,1,Single,7,Continental,White,White,NULL,Splash
Marans10,Marans,4,619,2580,Brown,46.16,116,1,Single,7,Continental,White,White,NULL,Splash
Marans10,Marans,5,619,2580,Brown,46.16,116,1,Single,7,Continental,White,White,NULL,Splash
Marans11,Marans,1,802,2450,Brown,49.22,126,1,Single,10,Continental,White,White,NULL,Splash
Marans11,Marans,2,802,2450,Brown,49.22,126,1,Single,10,Continental,White,White,NULL,Splash
Marans11,Marans,3,802,2450,Brown,49.22,126,1,Single,10,Continental,White,White,NULL,Splash
Marans11,Marans,4,802,2450,Brown,49.22,126,1,Single,10,Continental,White,White,NULL,Splash
Marans11,Marans,5,802,2450,Brown,49.22,126,1,Single,10,Continental,White,White,NULL,Splash
Marans12,Marans,1,725,2400,Brown,30.34,105,1,Single,8,Continental,White,White,NULL,Blue
Marans12,Marans,2,725,2400,Brown,30.34,105,1,Single,8,Continental,White,White,NULL,Blue
Marans12,Marans,3,725,2400,Brown,30.34,105,1,Single,8,Continental,White,White,NULL,Blue
Marans12,Marans,4,725,2400,Brown,30.34,105,1,Single,8,Continental,White,White,NULL,Blue
Marans12,Marans,5,725,2400,Brown,30.34,105,1,Single,8,Continental,White,White,NULL,Blue
Marans13,Marans,1,491,2250,Brown,41.2,120,1,Single,8,Continental,White,White,NULL,Blue
Marans13,Marans,2,491,2250,Brown,41.2,120,1,Single,8,Continental,White,White,NULL,Blue
Marans13,Marans,3,491,2250,Brown,41.2,120,1,Single,8,Continental,White,White,NULL,Blue
Marans13,Marans,4,491,2250,Brown,41.2,120,1,Single,8,Continental,White,White,NULL,Blue
Marans13,Marans,5,491,2250,Brown,41.2,120,1,Single,8,Continental,White,White,NULL,Blue
Marans14,Marans,1,342,2020,Brown,42.94,118,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans14,Marans,2,342,2020,Brown,42.94,118,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans14,Marans,3,342,2020,Brown,42.94,118,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans14,Marans,4,342,2020,Brown,42.94,118,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans14,Marans,5,342,2020,Brown,42.94,118,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans15,Marans,1,134,1550,Brown,50.7,118,1,Single,8,Continental,White,White,NULL,Splash
Marans15,Marans,2,134,1550,Brown,50.7,118,1,Single,8,Continental,White,White,NULL,Splash
Marans15,Marans,3,134,1550,Brown,50.7,118,1,Single,8,Continental,White,White,NULL,Splash
Marans15,Marans,4,134,1550,Brown,50.7,118,1,Single,8,Continental,White,White,NULL,Splash
Marans15,Marans,5,134,1550,Brown,50.7,118,1,Single,8,Continental,White,White,NULL,Splash
Marans16,Marans,1,833,1520,Brown,34.99,122,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans16,Marans,2,833,1520,Brown,34.99,122,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans16,Marans,3,833,1520,Brown,34.99,122,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans16,Marans,4,833,1520,Brown,34.99,122,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans16,Marans,5,833,1520,Brown,34.99,122,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans17,Marans,1,474,1790,Brown,42.89,111,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans17,Marans,2,474,1790,Brown,42.89,111,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans17,Marans,3,474,1790,Brown,42.89,111,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans17,Marans,4,474,1790,Brown,42.89,111,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans17,Marans,5,474,1790,Brown,42.89,111,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans18,Marans,1,906,2220,Brown,44.15,109,1,Single,10,Continental,White,White,NULL,Splash
Marans18,Marans,2,906,2220,Brown,44.15,109,1,Single,10,Continental,White,White,NULL,Splash
