competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,,Chocolate,37
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,,Fruity,38
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,,Caramel,14
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,,Peanutyalmondy,14
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,,Nougat,7
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,,Crispedricewafer,7
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,,Hard,15
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,,bar,21
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,,Pluribus,44
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,,,
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,,,
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,,,
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,,,
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,,,
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,,,
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,,,
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,,,
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,,,
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,,,
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,,,
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,,,
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,,,
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,,,
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,,,
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,,,
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,,,
