Year,month,day,leg,side,mileage,distance,species
1992,1,20,A,L,0.3,24,LECA
1992,1,20,B,R,6.1,23,LECA
1992,1,20,C,R,13.3,14,LECA
1992,1,20,D,L,17.5,3,LECA
1992,1,20,D,R,17.6,73,LECA
1992,1,20,D,L,17.9,47,LECA
1992,1,20,D,R,18.4,76,LECA
1992,1,20,D,L,18.7,1,LECA
1992,1,20,D,R,18.8,90,LECA
1992,1,20,D,R,20.3,9,LECA
1992,1,20,D,R,20.6,35,LECA
1992,4,20,A,L,2.4,2,LECA
1992,4,20,A,R,4.4,2,LECA
1992,4,20,B,L,7.8,27,LECA
1992,4,20,C,R,11.3,3,LECA
1992,4,20,C,R,11.8,11,LECA
1992,4,20,C,R,13.9,14,LECA
1992,4,20,D,L,16.9,22,LECA
1992,4,20,D,R,17.7,19,LECA
1992,4,20,D,R,17.7,15,LECA
1992,4,20,D,L,17.8,82,LECA
1992,4,20,D,L,18.1,13,LECA
1992,4,20,D,L,18.2,4,LECA
1992,4,20,D,R,18.8,5,LECA
1992,4,20,D,C,18.9,0,LECA
1992,4,20,D,L,19.1,2,LECA
1992,4,20,D,L,19.6,6,LECA
1992,4,20,D,R,20.3,14,LECA
1992,4,20,D,L,20.4,2,LECA
1992,4,20,D,R,20.7,14,LECA
1992,4,20,D,L,20.9,3,LECA
1992,4,20,D,L,21.6,5,LECA
1992,7,22,A,L,1.3,2,LECA
1992,7,22,B,L,6.3,3,LECA
1992,7,22,B,R,8.8,26,LECA
1992,7,22,C,L,10.6,52,LECA
1992,7,22,C,L,12.6,67,LECA
1992,7,22,C,R,15.9,28,LECA
1992,7,22,C,R,16,21,LECA
1992,7,22,D,R,16.2,35,LECA
1992,7,22,D,R,17.7,22,LECA
1992,7,22,D,R,18,3,LECA
1992,7,22,D,L,18,4,SYAU
1992,7,22,D,R,20.8,11,LECA
1992,10,26,A,R,0.9,37,SYAU
1992,10,26,B,L,5.9,14,LECA
1992,10,26,B,R,6.6,36,LECA
1992,10,26,B,L,8.8,37,LECA
1992,10,26,B,L,9.1,52,LECA
1992,10,26,B,L,9.1,77,LECA
1992,10,26,C,R,11,5,LECA
