,Meter Read Date,Days,Meter Reading Method,Meter Read,Usage (kWh),Demand,Avg. Daily Usage
0,06/28/2021,32,AMR - MOBILE READ BY VAN,21807,3393,0,106
1,05/27/2021,29,AMR - MOBILE READ BY VAN,18414,2790,0,96
2,04/28/2021,30,AMR - MOBILE READ BY VAN,15624,1781,0,59
3,03/29/2021,31,AMR - MOBILE READ BY VAN,13843,2134,0,69
4,02/26/2021,28,AMR - MOBILE READ BY VAN,11709,2806,0,100
5,01/29/2021,31,AMR - MOBILE READ BY VAN,8903,2894,0,93
6,12/29/2020,34,AMR - MOBILE READ BY VAN,6009,3118,0,92
7,11/25/2020,30,AMR - MOBILE READ BY VAN,2891,1894,0,63
8,10/26/2020,31,AMR - MOBILE READ BY VAN,997,2031,0,66
9,09/25/2020,30,AMR - MOBILE READ BY VAN,98966,3034,0,101
10,08/26/2020,29,AMR - MOBILE READ BY VAN,95932,3548,0,122
11,07/28/2020,32,AMR - MOBILE READ BY VAN,92384,4491,0,140
12,06/26/2020,29,AMR - MOBILE READ BY VAN,87893,3231,0,111
13,05/28/2020,30,AMR - MOBILE READ BY VAN,84662,2753,0,92
