nutrition id,crop group,food item name,fats,carbs,fiber,sat fats,mono unsaturated,polyunsaturated,Vit B12,Ca,K,water,kcal,protein
1,allium,garlic,0.5,33.06,2.1,0.09,0.01,0.25,0,181,401,58.58,149,6.36
2,allium,leek,0.3,14.15,1.8,0.04,0,0.17,0,59,180,83,61,1.5
3,allium,onion,0.15,8.34,2.15,0.04,0.02,0.05,0,47.5,211,89.47,36,1.47
4,allium,shallot,0.1,16.8,3.2,0.02,0.01,0.04,0,37,334,79.8,72,2.5
5,cereal,barley,1.16,77.72,15.6,0.24,0.15,0.56,0,29,280,10.09,352,9.91
6,cereal,corn,1.27,18.86,2.35,0.25,0.39,0.52,0,2,270,76.01,86,3.25
7,cereal,millet,4.22,72.85,8.5,0.72,0.77,2.13,0,8,195,8.67,378,11.02
8,cereal,oat bran,7.03,66.22,15.4,1.33,2.38,2.77,0,58,566,6.55,246,17.3
9,cereal,rice,1.27,78.59,2.2,0.28,0.42,0.39,0,17,142.29,12.35,362.43,7
10,cereal,wheat germ,9.72,51.8,13.2,1.67,1.37,6.01,0,39,892,11.12,360,23.15
11,cereal,rice - wild,1.08,74.9,6.2,0.16,0.16,0.68,0,21,427,7.76,357,14.73
12,cereal,sorghum grain,3.46,72.09,6.7,0.61,1.13,1.56,0,13,363,12.4,329,10.62
13,cereal,triticale,2.09,72.13,0,0.37,0.21,0.91,0,37,332,10.51,336,13.05
14,dairy,cheese,29.2,3.06,0,18.58,8.28,0.83,0.27,673,93,39.28,376,25.18
15,dairy,egg,14.8,1.99,0,4.35,6.58,2.54,1.85,75,145,68.81,186.69,13.05
16,dairy,kefir,0.9,10.2,0,0.53,0.26,0.04,0.31,119,154,84.82,62,3.39
17,dairy,milk - human,4.38,6.89,0,2.01,1.66,0.5,0.05,32,51,87.5,70,1.03
18,dairy,milk - cow whole 3.25% milkfat,3.27,4.78,0,1.87,0.81,0.2,0.45,113,132,88.13,61,3.15
19,dairy,yogurt,1.47,12.14,0.75,0.91,0.36,0.07,0.54,91.25,134.25,77.69,94.25,8.13
