ResourceType      Locations           Name                    Zones    Restrictions
----------------  ------------------  ----------------------  -------  --------------
availabilitySets  eastus              Classic                          None
availabilitySets  eastus              Aligned                          None
availabilitySets  eastus2             Classic                          None
availabilitySets  eastus2             Aligned                          None
availabilitySets  westus              Classic                          None
availabilitySets  westus              Aligned                          None
availabilitySets  centralus           Classic                          None
availabilitySets  centralus           Aligned                          None
availabilitySets  northcentralus      Classic                          None
availabilitySets  northcentralus      Aligned                          None
availabilitySets  southcentralus      Classic                          None
availabilitySets  southcentralus      Aligned                          None
availabilitySets  northeurope         Classic                          None
availabilitySets  northeurope         Aligned                          None
availabilitySets  westeurope          Classic                          None
availabilitySets  westeurope          Aligned                          None
availabilitySets  eastasia            Classic                          None
availabilitySets  eastasia            Aligned                          None
availabilitySets  southeastasia       Classic                          None
availabilitySets  southeastasia       Aligned                          None
availabilitySets  japaneast           Classic                          None
availabilitySets  japaneast           Aligned                          None
availabilitySets  japanwest           Classic                          None
availabilitySets  japanwest           Aligned                          None
availabilitySets  australiaeast       Classic                          None
availabilitySets  australiaeast       Aligned                          None
availabilitySets  australiasoutheast  Classic                          None
availabilitySets  australiasoutheast  Aligned                          None
availabilitySets  AustraliaCentral    Classic                          None
availabilitySets  AustraliaCentral    Aligned                          None
availabilitySets  brazilsouth         Classic                          None
availabilitySets  brazilsouth         Aligned                          None
availabilitySets  SouthIndia          Classic                          None
availabilitySets  SouthIndia          Aligned                          None
availabilitySets  CentralIndia        Classic                          None
availabilitySets  CentralIndia        Aligned                          None
availabilitySets  WestIndia           Classic                          None
availabilitySets  WestIndia           Aligned                          None
availabilitySets  CanadaCentral       Classic                          None
availabilitySets  CanadaCentral       Aligned                          None
availabilitySets  CanadaEast          Classic                          None
availabilitySets  CanadaEast          Aligned                          None
availabilitySets  westus2             Classic                          None
availabilitySets  westus2             Aligned                          None
availabilitySets  westcentralus       Classic                          None
availabilitySets  westcentralus       Aligned                          None
availabilitySets  uksouth             Classic                          None
availabilitySets  uksouth             Aligned                          None
availabilitySets  ukwest              Classic                          None
availabilitySets  ukwest              Aligned                          None
availabilitySets  KoreaCentral        Classic                          None
availabilitySets  KoreaCentral        Aligned                          None
availabilitySets  KoreaSouth          Classic                          None
availabilitySets  KoreaSouth          Aligned                          None
availabilitySets  FranceCentral       Classic                          None
availabilitySets  FranceCentral       Aligned                          None
availabilitySets  SouthAfricaNorth    Classic                          None
availabilitySets  SouthAfricaNorth    Aligned                          None
availabilitySets  UAENorth            Classic                          None
availabilitySets  UAENorth            Aligned                          None
availabilitySets  SwitzerlandNorth    Classic                          None
availabilitySets  SwitzerlandNorth    Aligned                          None
availabilitySets  GermanyWestCentral  Classic                          None
availabilitySets  GermanyWestCentral  Aligned                          None
