Index,Open,High,Low,Close,Volume
1,35.85,35.93,35.64,35.73,22254343
2,35.59,35.63,35.27,35.57,36972230
3,36.03,36.15,35.46,35.52,31390076
4,35.87,36.23,35.75,35.77,28999241
5,36.38,36.4,35.91,36.12,30005945
6,36.13,36.45,36.04,36.18,47585217
7,35.92,35.95,35.68,35.78,33443204
8,35.57,36.25,35.51,35.91,69970850
9,35.1,35.15,35,35.04,23586540
10,34.92,35.06,34.88,34.99,35660954
11,34.8,35.1,34.76,35.02,37333202
12,34.72,34.85,34.54,34.8,30455930
13,34.3,34.75,34.26,34.67,29729847
14,34.54,34.57,34.4,34.41,24465457
15,34.75,34.96,34.64,34.65,25869065
16,34.82,34.98,34.78,34.88,30440848
17,34.59,34.76,34.59,34.72,31312320
18,34.59,34.79,34.5,34.51,23986602
19,34.5,34.72,34.5,34.59,25928796
20,35.16,35.17,34.5,34.57,36713215
21,34.92,35.48,34.78,35.27,56219033
22,34.45,35.17,34.36,35.03,39115938
23,34.37,34.53,34.28,34.36,19508848
24,34.53,34.6,34.24,34.35,28235746
25,34.75,34.82,34.54,34.54,29885075
26,34.96,34.97,34.64,34.8,19591680
27,34.75,35.1,34.6,34.95,36633602
28,34.6,34.76,34.26,34.67,40654956
29,34.89,35.03,34.62,34.71,26349206
30,34.55,35.22,34.52,35.07,41576038
31,34.43,34.71,34.29,34.62,27280899
32,34.79,34.85,34.17,34.37,38270674
33,34.28,35.02,34.26,34.87,59611861
34,34.11,34.38,34.01,34.33,28264128
35,34.08,34.2,34,34.13,23908724
36,33.63,34.14,33.57,33.9,34748757
37,33.31,33.94,33.04,33.66,41281635
38,33.65,33.7,33.38,33.49,21479715
39,33.72,33.83,33.59,33.69,27681434
40,33.25,33.56,33.11,33.37,22643503
41,33.71,33.79,33.08,33.38,30701511
42,34.49,34.58,33.66,33.72,31805035
43,34.41,34.71,34.25,34.53,21304960
44,34.56,34.72,34.13,34.42,34167621
45,34.7,34.9,34.55,34.64,29693238
46,34.58,35.23,34.54,34.76,40722497
47,34.28,34.98,34.17,34.86,48688362
